ThreadName,Message,ServerThreadName,UserName,AuditTime,PduType,LogTime
Client-Client-Thread-5,++++++++++,,Client-Thread-5,2019-12-04 11:45:48:868,"Chat  ",2019-12-04 11:45:48:870
Client-Client-Thread-6,++++++++++,,Client-Thread-6,2019-12-04 11:45:48:876,"Chat  ",2019-12-04 11:45:48:877
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:45:48:888,"Chat  ",2019-12-04 11:45:48:889
Client-Client-Thread-3,++++++++++,,Client-Thread-3,2019-12-04 11:45:48:893,"Chat  ",2019-12-04 11:45:48:893
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:45:48:928,"Chat  ",2019-12-04 11:45:48:929
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:45:48:937,"Chat  ",2019-12-04 11:45:48:951
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:45:49:026,"Chat  ",2019-12-04 11:45:49:029
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:45:49:048,"Chat  ",2019-12-04 11:45:49:049
Client-Client-Thread-8,,,Client-Thread-8,2019-12-04 11:45:50:081,Logout,2019-12-04 11:45:50:082
Client-Client-Thread-9,,,Client-Thread-9,2019-12-04 11:45:50:085,Logout,2019-12-04 11:45:50:087
Client-Client-Thread-4,,,Client-Thread-4,2019-12-04 11:45:50:087,Logout,2019-12-04 11:45:50:088
Client-Client-Thread-2,,,Client-Thread-2,2019-12-04 11:45:50:087,Logout,2019-12-04 11:45:50:089
Client-Client-Thread-10,,,Client-Thread-10,2019-12-04 11:45:50:088,Logout,2019-12-04 11:45:50:089
Client-Client-Thread-3,,,Client-Thread-3,2019-12-04 11:45:50:088,Logout,2019-12-04 11:45:50:090
Client-Client-Thread-1,,,Client-Thread-1,2019-12-04 11:45:50:094,Logout,2019-12-04 11:45:50:099
Client-Client-Thread-5,,,Client-Thread-5,2019-12-04 11:45:50:094,Logout,2019-12-04 11:45:50:104
Client-Client-Thread-6,,,Client-Thread-6,2019-12-04 11:45:50:095,Logout,2019-12-04 11:45:50:105
Client-Client-Thread-7,,,Client-Thread-7,2019-12-04 11:45:50:098,Logout,2019-12-04 11:45:50:105
Client-Client-Thread-1,,,Client-Thread-1,2019-12-04 11:46:07:668,"Login ",2019-12-04 11:46:07:669
Client-Client-Thread-2,,,Client-Thread-2,2019-12-04 11:46:07:697,"Login ",2019-12-04 11:46:07:697
Client-Client-Thread-3,,,Client-Thread-3,2019-12-04 11:46:07:724,"Login ",2019-12-04 11:46:07:725
Client-Client-Thread-4,,,Client-Thread-4,2019-12-04 11:46:07:755,"Login ",2019-12-04 11:46:07:756
Client-Client-Thread-5,,,Client-Thread-5,2019-12-04 11:46:07:789,"Login ",2019-12-04 11:46:07:791
Client-Client-Thread-6,,,Client-Thread-6,2019-12-04 11:46:07:806,"Login ",2019-12-04 11:46:07:808
Client-Client-Thread-7,,,Client-Thread-7,2019-12-04 11:46:07:833,"Login ",2019-12-04 11:46:07:834
Client-Client-Thread-8,,,Client-Thread-8,2019-12-04 11:46:07:876,"Login ",2019-12-04 11:46:07:877
Client-Client-Thread-9,,,Client-Thread-9,2019-12-04 11:46:07:904,"Login ",2019-12-04 11:46:07:904
Client-Client-Thread-10,,,Client-Thread-10,2019-12-04 11:46:07:934,"Login ",2019-12-04 11:46:07:934
